date,code,open,high,low,close,preclose,volume,amount,pctChg,振幅
2018-01-02,sh.000300,4045.208,4087.778,4045.208,4087.401,4030.854,14693543424,178402033664.0,1.4029,1.0561
2018-01-03,sh.000300,4091.46,4140.054,4088.73,4111.392,4087.401,15185221888,205726887936.0,0.587,1.2557
2018-01-04,sh.000300,4114.121,4137.642,4105.885,4128.811,4111.392,13454379520,174523555840.0,0.4237,0.7724
2018-01-05,sh.000300,4133.343,4151.281,4123.281,4138.75,4128.811,14900987136,185206292480.0,0.2407,0.6782
2018-01-08,sh.000300,4140.854,4166.318,4127.308,4160.159,4138.75,17387766528,226403872768.0,0.5173,0.9426
2018-01-09,sh.000300,4157.539,4191.284,4153.502,4189.297,4160.159,13903429376,181975080960.0,0.7004,0.9082
2018-01-10,sh.000300,4187.204,4211.054,4175.135,4207.813,4189.297,15112166656,194850254848.0,0.442,0.8574
2018-01-11,sh.000300,4197.113,4211.799,4181.957,4205.586,4207.813,12157853952,170407305216.0,-0.0529,0.7092
2018-01-12,sh.000300,4205.144,4227.392,4199.025,4225.001,4205.586,11135479296,157606211584.0,0.4616,0.6745
2018-01-15,sh.000300,4229.835,4262.931,4216.358,4225.239,4225.001,17090789632,234986586112.0,0.0056,1.1023
2018-01-16,sh.000300,4215.624,4260.211,4213.127,4258.473,4225.239,16149496320,228271226880.0,0.7866,1.1144
2018-01-17,sh.000300,4261.783,4283.344,4230.536,4248.116,4258.473,21431103232,284554358784.0,-0.2432,1.2401
2018-01-18,sh.000300,4259.375,4292.637,4246.684,4271.416,4248.116,17203284736,225289687040.0,0.5485,1.0817
2018-01-19,sh.000300,4281.937,4316.571,4269.616,4285.395,4271.416,20949057024,258554724352.0,0.3273,1.0993
2018-01-22,sh.000300,4276.481,4338.483,4275.897,4336.597,4285.395,17464319488,233960222720.0,1.1948,1.4604
2018-01-23,sh.000300,4346.888,4383.572,4346.792,4382.612,4336.597,20186758400,257113358336.0,1.0611,0.8481
2018-01-24,sh.000300,4389.454,4397.819,4349.086,4389.885,4382.612,21981889024,284470808576.0,0.166,1.112
2018-01-25,sh.000300,4381.976,4392.196,4336.238,4365.079,4389.885,19537495040,250308091904.0,-0.5651,1.2747
2018-01-26,sh.000300,4352.221,4403.337,4351.487,4381.299,4365.079,17722723584,223331307520.0,0.3716,1.1878
2018-01-29,sh.000300,4387.057,4395.905,4287.112,4302.018,4381.299,19110035456,256176324608.0,-1.8095,2.4831
2018-01-30,sh.000300,4286.683,4308.511,4251.57,4256.102,4302.018,13903472896,186650566656.0,-1.0673,1.3236
2018-01-31,sh.000300,4234.11,4287.857,4232.772,4275.898,4256.102,14521016320,194401800192.0,0.4651,1.2943
2018-02-01,sh.000300,4276.342,4287.388,4214.29,4245.897,4275.898,19000293376,239230300160.0,-0.7016,1.7095
2018-02-02,sh.000300,4213.938,4271.764,4181.779,4271.232,4245.897,14606682624,191169867776.0,0.5967,2.1193
2018-02-05,sh.000300,4204.458,4274.146,4200.14,4274.146,4271.232,16134779904,217360146432.0,0.0682,1.7327
2018-02-06,sh.000300,4182.325,4211.523,4131.556,4148.885,4274.146,21491045120,279415083008.0,-2.9307,1.8709
2018-02-07,sh.000300,4205.736,4212.567,4048.422,4050.497,4148.885,20312749312,261507026944.0,-2.3714,3.9564
2018-02-08,sh.000300,4022.88,4071.665,3974.677,4012.047,4050.497,15926998528,199061770240.0,-0.9493,2.3945
2018-02-09,sh.000300,3896.169,3911.291,3759.146,3840.652,4012.047,20634982912,246774829056.0,-4.272,3.7922
2018-02-12,sh.000300,3846.267,3907.843,3828.069,3890.104,3840.652,11618263808,149858041856.0,1.2876,2.0771
2018-02-13,sh.000300,3925.595,3986.98,3925.595,3935.632,3890.104,11256588544,144479354880.0,1.1704,1.578
2018-02-14,sh.000300,3945.094,3971.404,3923.126,3966.961,3935.632,7108133888,93110202368.0,0.796,1.2267
2018-02-22,sh.000300,4020.973,4058.787,4009.92,4052.733,3966.961,10581157120,138334363648.0,2.1622,1.2318
2018-02-23,sh.000300,4061.754,4085.2,4035.231,4071.088,4052.733,9945874688,128195833856.0,0.4529,1.233
2018-02-26,sh.000300,4093.398,4128.743,4048.983,4118.418,4071.088,13788100096,179013095424.0,1.1626,1.9592
2018-02-27,sh.000300,4120.871,4120.871,4051.805,4058.98,4118.418,12593446912,169684901888.0,-1.4432,1.677
2018-02-28,sh.000300,4016.791,4051.712,3991.706,4023.641,4058.98,10934359296,152493907968.0,-0.8706,1.4784
2018-03-01,sh.000300,3994.868,4061.032,3986.894,4049.086,4023.641,11019985152,146003456000.0,0.6324,1.8426
2018-03-02,sh.000300,4014.951,4044.418,4006.943,4016.461,4049.086,9616499968,130931179520.0,-0.8057,0.9255
2018-03-05,sh.000300,4021.657,4042.834,3995.871,4018.097,4016.461,8795254784,118197858304.0,0.0407,1.1693
2018-03-06,sh.000300,4034.985,4067.552,3998.931,4066.564,4018.097,13876244480,171370655744.0,1.2062,1.7078
2018-03-07,sh.000300,4063.502,4089.696,4027.936,4036.653,4066.564,10695242496,136572305408.0,-0.7355,1.5187
2018-03-08,sh.000300,4038.952,4078.226,4029.714,4077.6,4036.653,9115580928,123634638848.0,1.0144,1.2018
2018-03-09,sh.000300,4088.07,4110.673,4076.453,4108.865,4077.6,11370180864,150024118272.0,0.7668,0.8392
2018-03-12,sh.000300,4130.708,4139.525,4112.765,4127.666,4108.865,14090673920,190367592448.0,0.4576,0.6513
2018-03-13,sh.000300,4124.331,4130.282,4087.562,4091.253,4127.666,11176643072,141174161408.0,-0.8822,1.035
2018-03-14,sh.000300,4076.062,4089.094,4066.489,4073.344,4091.253,9901340928,131537960960.0,-0.4377,0.5525
2018-03-15,sh.000300,4058.705,4098.989,4058.705,4096.162,4073.344,8816115712,126882451456.0,0.5602,0.989
2018-03-16,sh.000300,4096.885,4110.045,4055.822,4056.422,4096.162,8489618688,122125340672.0,-0.9702,1.3238
2018-03-19,sh.000300,4054.616,4074.518,4033.521,4074.247,4056.422,8150288128,118183817216.0,0.4394,1.0107
2018-03-20,sh.000300,4045.742,4080.192,4040.308,4077.704,4074.247,8060528128,111980232704.0,0.0849,0.9789
